Hour,MostInfectedPerson,MostSpreaderPerson,AlivePeople,TotalDead,TotalInfected,TotalQuarantined,CityPopulations
47,Person_City_1_27:1,Person_City_1_20:6,420,103,179,168,City_1:54;City_2:76;City_3:93;City_4:206;City_5:94
48,Person_City_1_27:1,Person_City_1_20:6,415,108,184,175,City_1:55;City_2:72;City_3:109;City_4:190;City_5:97
49,Person_City_1_27:1,Person_City_1_20:6,413,110,190,180,City_1:52;City_2:78;City_3:126;City_4:168;City_5:99
50,Person_City_1_27:1,Person_City_1_20:7,410,113,203,190,City_1:57;City_2:77;City_3:127;City_4:170;City_5:92
51,Person_City_1_27:1,Person_City_1_20:7,407,116,211,198,City_1:55;City_2:79;City_3:137;City_4:159;City_5:93
52,Person_City_1_27:1,Person_City_1_20:8,398,125,223,201,City_1:53;City_2:85;City_3:141;City_4:151;City_5:93
53,Person_City_1_27:1,Person_City_1_20:8,392,131,230,208,City_1:50;City_2:90;City_3:144;City_4:150;City_5:89
54,Person_City_1_27:1,Person_City_1_20:8,390,133,240,220,City_1:48;City_2:96;City_3:140;City_4:148;City_5:91
55,Person_City_1_27:1,Person_City_1_20:8,385,138,248,234,City_1:47;City_2:98;City_3:141;City_4:157;City_5:80
56,Person_City_1_27:1,Person_City_1_20:8,382,141,262,249,City_1:51;City_2:95;City_3:139;City_4:154;City_5:84
57,Person_City_1_27:1,Person_City_1_20:8,374,149,271,263,City_1:54;City_2:100;City_3:135;City_4:152;City_5:82
58,Person_City_1_27:1,Person_City_1_20:8,372,151,280,268,City_1:60;City_2:97;City_3:136;City_4:145;City_5:85
59,Person_City_1_27:1,Person_City_1_20:8,365,158,289,278,City_1:67;City_2:99;City_3:131;City_4:138;City_5:88
60,Person_City_1_27:1,Person_City_1_20:8,359,164,300,285,City_1:68;City_2:99;City_3:133;City_4:141;City_5:82
61,Person_City_1_27:1,Person_City_1_20:8,353,170,312,295,City_1:66;City_2:104;City_3:134;City_4:135;City_5:84
62,Person_City_1_27:1,Person_City_1_20:8,345,178,327,304,City_1:69;City_2:107;City_3:133;City_4:134;City_5:80
63,Person_City_1_27:1,Person_City_1_20:8,339,184,346,322,City_1:66;City_2:114;City_3:135;City_4:126;City_5:82
64,Person_City_1_27:1,Person_City_1_20:8,332,191,359,336,City_1:65;City_2:118;City_3:133;City_4:128;City_5:79
65,Person_City_1_27:1,Person_City_1_20:8,325,198,371,355,City_1:64;City_2:120;City_3:134;City_4:121;City_5:84
66,Person_City_1_27:1,Person_City_1_20:8,319,204,383,367,City_1:65;City_2:125;City_3:127;City_4:123;City_5:83
67,Person_City_1_27:1,Person_City_1_20:8,311,212,401,383,City_1:65;City_2:123;City_3:129;City_4:123;City_5:83
68,Person_City_1_27:1,Person_City_1_20:8,300,223,416,396,City_1:66;City_2:118;City_3:136;City_4:120;City_5:83
69,Person_City_1_27:1,Person_City_1_20:8,286,237,438,408,City_1:61;City_2:125;City_3:131;City_4:126;City_5:80
70,Person_City_1_27:1,Person_City_1_20:9,273,250,449,428,City_1:61;City_2:126;City_3:131;City_4:127;City_5:78
71,Person_City_1_27:1,Person_City_1_20:9,263,260,468,445,City_1:63;City_2:122;City_3:133;City_4:127;City_5:78
72,Person_City_1_27:1,Person_City_1_20:9,256,267,482,464,City_1:62;City_2:127;City_3:131;City_4:129;City_5:74
